county,coordinates,state
Clay,"(33.7900416, -98.2212979)",Texas
Colorado,"(29.5378648, -96.49297969999999)",Texas
Comanche,"(31.9755461, -98.5721016)",Texas
Gonzales,"(29.4834878, -97.5247243)",Texas
Gray,"(35.3352558, -100.8903099)",Texas
Kerr,"(30.0945305, -99.456155)",Texas
Live Oak,"(28.342294, -98.04651849999999)",Texas
Newton,"(30.9359604, -93.66232389999999)",Texas
San Augustine,"(31.4699363, -94.15137639999999)",Texas
Wood,"(32.8296216, -95.35208759999999)",Texas
Donley,"(34.9875355, -100.8903099)",Texas
Gillespie,"(30.31499299999999, -98.92453429999999)",Texas
Goliad,"(28.5673709, -97.35165579999999)",Texas
Jasper,"(30.9263644, -93.9878427)",Texas
Jim Wells,"(27.7841718, -98.04651849999999)",Texas
Lee,"(30.2967161, -96.9638624)",Texas
Palo Pinto,"(32.7511956, -98.31041839999999)",Texas
Panola,"(32.1920035, -94.315422)",Texas
Lampasas,"(31.2737682, -98.2212979)",Texas
Titus,"(33.2493126, -94.976654)",Texas
Andrews,"(32.342627, -102.7135121)",Texas
Hemphill,"(35.9022267, -100.3497895)",Texas
Hutchinson,"(35.8031909, -101.4339148)",Texas
Mason,"(30.6556091, -99.2785583)",Texas
Trinity,"(31.0687648, -95.1432068)",Texas
Tyler,"(30.7324447, -94.315422)",Texas
Aransas,"(28.0761262, -96.9638624)",Texas
Pecos,"(30.8253214, -102.6216211)",Texas
Zapata,"(26.9730763, -99.1013498)",Texas
Callahan,"(32.2728116, -99.456155)",Texas
Crosby,"(33.5500004, -101.2523792)",Texas
Dallam,"(36.20745, -102.5298028)",Texas
Hamilton,"(31.6368668, -98.2212979)",Texas
Hansford,"(36.31837489999999, -101.4339148)",Texas
Knox,"(33.6734243, -99.8124935)",Texas
Mitchell,"(32.3360516, -100.8903099)",Texas
Bee,"(28.3624206, -97.69822719999999)",Texas
Delta,"(33.3493128, -95.77212039999999)",Texas
Dickens,"(33.5985109, -100.7097867)",Texas
Floyd,"(34.0791533, -101.2523792)",Texas
Frio,"(28.831355, -99.1013498)",Texas
Jones,"(32.7833435, -99.8124935)",Texas
Bandera,"(29.7404135, -99.2785583)",Texas
Jack,"(33.2560382, -98.2212979)",Texas
Madison,"(30.9888479, -95.94097099999999)",Texas
McCulloch,"(31.2016122, -99.2785583)",Texas
Sabine,"(31.2974233, -93.8248241)",Texas
Scurry,"(32.6937844, -100.8903099)",Texas
Concho,"(31.3431641, -99.8124935)",Texas
Cooke,"(33.6672185, -97.35165579999999)",Texas
Howard,"(32.2875944, -101.4339148)",Texas
Rains,"(32.9009129, -95.77212039999999)",Texas
Stephens,"(32.7399935, -98.8400144)",Texas
Winkler,"(31.76846, -103.0817903)",Texas
Dimmit,"(28.4116514, -99.8124935)",Texas
Motley,"(34.1280332, -100.7097867)",Texas
Armstrong,"(34.937162, -101.4339148)",Texas
Duval,"(27.7525271, -98.5721016)",Texas
Wilbarger,"(34.0688089, -99.2785583)",Texas
Bosque,"(31.8507607, -97.69822719999999)",Texas
Freestone,"(31.7534889, -96.15269850000001)",Texas
La Salle,"(28.2758921, -99.1013498)",Texas
Marion,"(32.7780679, -94.35651299999999)",Texas
Red River,"(33.6072302, -94.976654)",Texas
Roberts,"(35.8540979, -100.8903099)",Texas
Sherman,"(36.2643429, -101.9804613)",Texas
Zavala,"(28.8801264, -99.72326729999999)",Texas
Carson,"(35.4578717, -101.4339148)",Texas
Yoakum,"(33.2114703, -102.8975098)",Texas
Childress,"(34.5257527, -100.1703257)",Texas
Houston,"(31.2377559, -95.4777811)",Texas
Parmer,"(34.4604292, -102.7135121)",Texas
Hartley,"(35.86479569999999, -102.5298028)",Texas
Brooks,"(27.0273057, -98.2212979)",Texas
Wheeler,"(35.3830893, -100.3497895)",Texas
Cochran,"(33.5643803, -102.8975098)",Texas
Jim Hogg,"(26.995506, -98.7481167)",Texas
Nolan,"(32.3818737, -100.3497895)",Texas
Ochiltree,"(36.2921544, -100.8000051)",Texas
Cottle,"(34.159117, -100.3497895)",Texas
Lipscomb,"(36.2464455, -100.3497895)",Texas
Runnels,"(31.8714508, -99.99122539999999)",Texas
Garza,"(33.1955897, -101.2523792)",Texas
Glasscock,"(31.912308, -101.6157773)",Texas
Brewster,"(29.6629938, -103.3587288)",Texas
Briscoe,"(34.526178, -101.1617356)",Texas
Coleman,"(31.7320219, -99.456155)",Texas
Refugio,"(28.3465339, -97.1359377)",Texas
Bailey,"(34.0913057, -102.8975098)",Texas
Coke,"(31.82776629999999, -100.5296115)",Texas
Collingsworth,"(35.0351623, -100.3497895)",Texas
Shackelford,"(32.8242297, -99.2785583)",Texas
Kimble,"(30.4338473, -99.8124935)",Texas
Reeves,"(31.4307975, -103.7289167)",Texas
Archer,"(33.5761511, -98.7481167)",Texas
