state,county,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,dissipating_storm_count,cases,previous_cases,2019_population,change_in_case_ratio
Texas,Kendall,0,0,0,0,0,0,2,0,1,0,0,0,163.0,148.0,47431.0,31.69999999999999
Texas,Blanco,0,0,0,0,0,0,0,0,1,0,0,0,114.0,98.0,11931.0,134.10000000000002
Texas,Llano,0,0,0,0,0,0,0,0,1,0,0,0,89.0,86.0,21795.0,13.799999999999955
Texas,Mills,0,0,0,0,0,0,0,0,1,0,0,0,22.0,16.0,4873.0,123.19999999999999
Texas,Hamilton,0,0,0,0,0,0,0,0,1,1,0,0,91.0,55.0,8461.0,425.5
Texas,Erath,0,0,0,0,0,0,0,0,3,1,0,0,555.0,476.0,42698.0,185.0
Texas,Willacy,3,2,0,0,0,5,2,0,0,0,0,0,710.0,614.0,21358.0,449.5
Texas,Jim Hogg,2,0,0,0,0,2,5,0,4,0,0,0,64.0,54.0,5200.0,192.29999999999995
Texas,Webb,2,0,0,0,0,2,5,0,6,3,0,0,8490.0,6921.0,276652.0,567.1000000000004
Texas,Jackson,1,0,0,0,0,1,3,0,0,0,0,0,408.0,344.0,14760.0,433.5999999999999
Texas,Lavaca,1,0,0,0,0,2,3,0,4,0,0,0,633.0,613.0,20154.0,99.20000000000027
Texas,Colorado,1,0,0,0,0,1,2,0,1,0,0,0,308.0,257.0,21493.0,237.29999999999995
Texas,Waller,0,1,0,0,0,1,5,0,6,0,0,0,465.0,413.0,55246.0,94.10000000000002
Texas,Wharton,4,0,0,0,0,4,3,0,5,0,0,0,815.0,641.0,41556.0,418.70000000000005
Texas,Zapata,0,0,0,0,0,0,7,0,1,2,0,0,179.0,160.0,14179.0,134.0
Texas,Goliad,2,1,0,0,0,5,2,0,3,0,0,0,96.0,77.0,7658.0,248.0999999999999
Texas,Karnes,0,1,0,0,0,2,0,0,8,0,0,0,644.0,344.0,15601.0,1922.8999999999996
Texas,Wilson,1,0,0,0,0,1,0,0,6,0,0,0,448.0,422.0,51070.0,50.90000000000009
Texas,Comal,0,0,0,0,0,0,0,0,2,0,0,0,2474.0,2231.0,156209.0,155.5999999999999
Texas,Gillespie,0,0,0,0,0,0,0,0,2,0,0,0,176.0,171.0,26988.0,18.5
Texas,Bastrop,0,0,0,0,0,1,3,0,1,0,0,0,1375.0,1302.0,88723.0,82.29999999999995
Texas,Lee,0,0,0,0,0,0,0,0,2,0,0,0,177.0,154.0,17239.0,133.4000000000001
Texas,Orange,0,0,0,0,0,0,2,0,0,0,0,0,1493.0,1250.0,83396.0,291.39999999999986
Texas,Tyler,0,0,0,0,0,0,6,0,5,0,0,0,127.0,115.0,21672.0,55.39999999999998
Texas,Trinity,1,0,0,0,0,1,3,0,8,0,0,0,156.0,152.0,14651.0,27.299999999999955
Texas,Menard,0,0,0,0,0,0,1,0,0,0,0,0,18.0,17.0,2138.0,46.799999999999955
Texas,Tom Green,0,0,0,0,0,0,1,0,0,0,0,0,2740.0,2476.0,119200.0,221.5
Texas,Coke,0,0,0,0,0,0,1,0,0,0,0,0,42.0,40.0,3387.0,59.0
Texas,Mitchell,0,0,0,0,0,0,1,0,0,0,0,0,68.0,56.0,8545.0,140.39999999999998
Texas,San Patricio,3,0,0,0,0,3,4,0,1,0,0,0,972.0,834.0,66730.0,206.79999999999995
Texas,Bell,0,0,0,0,0,0,2,0,4,0,0,0,3957.0,3598.0,362924.0,98.89999999999998
Texas,Bosque,0,0,0,0,0,0,1,0,10,1,0,0,166.0,135.0,18685.0,165.89999999999998
Texas,Tarrant,0,0,0,0,0,0,1,0,1,0,0,0,34369.0,30162.0,2102515.0,200.10000000000014
Texas,Cooke,0,0,0,0,0,0,1,0,1,0,0,0,248.0,202.0,41257.0,111.5
Texas,Austin,0,0,0,0,0,2,2,0,1,0,0,0,269.0,216.0,30032.0,176.5
Texas,Washington,0,0,0,0,0,0,4,0,5,0,0,0,515.0,498.0,35882.0,47.399999999999864
Texas,Burleson,1,0,0,0,0,1,4,0,5,0,0,0,248.0,232.0,18443.0,86.79999999999995
Texas,Milam,1,0,0,0,0,1,3,0,6,0,0,0,350.0,327.0,24823.0,92.70000000000005
Texas,Falls,0,0,0,0,0,0,2,0,6,1,0,0,135.0,112.0,17297.0,133.0
Texas,Fort Bend,3,0,0,0,0,3,8,2,10,0,0,0,10335.0,7867.0,811688.0,304.0999999999999
Texas,Medina,0,0,0,0,0,0,0,0,0,0,0,0,892.0,615.0,51584.0,537.0
Texas,Brazos,0,0,0,0,0,0,3,0,2,0,0,0,4092.0,3953.0,229211.0,60.700000000000045
Texas,McLennan,0,0,0,0,0,1,1,0,9,0,0,0,5106.0,4694.0,256623.0,160.60000000000014
Texas,Johnson,0,0,0,0,0,0,2,0,5,0,0,0,1980.0,1619.0,175817.0,205.4000000000001
Texas,Parker,0,0,0,0,0,0,1,0,5,0,0,0,1292.0,1123.0,142878.0,118.29999999999995
Texas,Wise,0,0,0,0,0,0,1,0,4,0,0,0,449.0,329.0,69984.0,171.5
Texas,Williamson,0,0,0,0,0,0,1,0,0,0,0,0,7189.0,5930.0,590551.0,213.19999999999993
Texas,Ellis,0,0,0,0,0,0,1,0,3,0,0,0,3120.0,2545.0,184826.0,311.0999999999999
Texas,Dallas,0,0,0,0,0,0,1,0,0,0,0,0,55553.0,52131.0,2635516.0,129.9000000000001
Texas,Fannin,0,0,0,0,0,0,1,0,3,0,0,0,266.0,219.0,35514.0,132.29999999999995
Texas,La Salle,0,0,0,0,0,0,4,0,1,4,0,0,362.0,357.0,7520.0,66.5
Texas,Dimmit,0,0,0,0,0,0,5,0,2,0,0,0,155.0,131.0,10124.0,237.0
Texas,Robertson,0,0,0,0,0,0,6,0,4,0,0,0,234.0,216.0,17074.0,105.40000000000009
Texas,Freestone,0,0,0,0,0,0,3,0,1,0,0,0,162.0,139.0,19717.0,116.60000000000002
Texas,Henderson,0,0,0,0,0,0,0,0,2,0,0,0,641.0,604.0,82737.0,44.700000000000045
Texas,Smith,0,0,0,0,0,0,1,2,3,0,0,0,2928.0,2416.0,232751.0,220.0
Texas,Wood,0,0,0,0,0,0,1,0,1,0,0,0,321.0,302.0,45539.0,41.69999999999993
Texas,Titus,0,0,0,0,0,0,0,0,1,0,0,0,1381.0,1312.0,32750.0,210.70000000000027
Texas,Bowie,0,0,0,0,0,0,0,0,4,0,0,0,769.0,706.0,93245.0,67.60000000000002
Texas,Nacogdoches,0,0,0,0,0,0,5,0,4,0,0,0,1167.0,1054.0,65204.0,173.29999999999995
Texas,Rusk,0,0,0,0,0,0,1,1,2,0,0,0,377.0,338.0,54406.0,71.60000000000002
Texas,Camp,0,0,0,0,0,0,1,0,0,0,0,0,242.0,218.0,13094.0,183.29999999999995
Texas,Red River,0,0,0,0,0,0,2,0,0,0,0,0,137.0,134.0,12023.0,25.0
Texas,Brewster,0,0,0,0,0,0,3,0,2,0,0,0,187.0,186.0,9203.0,10.800000000000182
Texas,Presidio,0,0,0,0,0,0,0,0,3,0,0,0,47.0,44.0,6704.0,44.80000000000007
Texas,Hudspeth,0,0,0,0,0,0,1,0,3,0,0,0,24.0,22.0,4886.0,40.89999999999998
Texas,Grimes,0,0,0,0,0,0,3,0,5,0,0,0,891.0,854.0,28880.0,128.0999999999999
Texas,Madison,0,0,0,0,0,0,2,0,1,0,0,0,667.0,645.0,14284.0,154.10000000000036
Texas,Navarro,0,0,0,0,0,0,0,0,3,0,0,0,1055.0,942.0,50113.0,225.39999999999986
Texas,Kaufman,0,0,0,0,0,0,0,0,3,0,0,0,2289.0,1900.0,136154.0,285.70000000000005
Texas,Hunt,0,0,0,0,0,0,0,0,3,0,0,0,1202.0,1105.0,98594.0,98.29999999999995
Texas,El Paso,0,0,0,0,0,0,1,0,1,0,0,0,16936.0,15142.0,839238.0,213.70000000000005
